_id,class_type,transfer_type
64a5800df0d88ba6fca6ff3f,salary,64a31a9473fb819f6b011b7d
64a5825af0d88ba6fca6ff40,relatives,64a31a9473fb819f6b011b7d
64a58270f0d88ba6fca6ff41,property,64a31a9473fb819f6b011b7d
64a58283f0d88ba6fca6ff42,additional income,64a31a9473fb819f6b011b7d
64a58293f0d88ba6fca6ff43,credit,64a31a9473fb819f6b011b7d
64a582a6f0d88ba6fca6ff44,other,64a31a9473fb819f6b011b7d
64a582b5f0d88ba6fca6ff45,food,64a31ad073fb819f6b011b7e
64a582cff0d88ba6fca6ff46,entertainment,64a31ad073fb819f6b011b7e
64a582e2f0d88ba6fca6ff47,car,64a31ad073fb819f6b011b7e
64a582ecf0d88ba6fca6ff48,apartment,64a31ad073fb819f6b011b7e
64a582f7f0d88ba6fca6ff49,gifts,64a31ad073fb819f6b011b7e
64a58302f0d88ba6fca6ff4a,clothes,64a31ad073fb819f6b011b7e
64a5830ff0d88ba6fca6ff4b,technique,64a31ad073fb819f6b011b7e
64a58321f0d88ba6fca6ff4c,credit,64a31ad073fb819f6b011b7e
64a5832cf0d88ba6fca6ff4d,other,64a31ad073fb819f6b011b7e
